BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,ADDRESS,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
4,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,1,949,34,19-48 81ST STREET,11370,1,0,1,1799,1224,1945,1,A5,864195,7/15/22
4,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,1,949,37,19-54 81ST STREET,11370,1,0,1,1799,1224,1945,1,A5,815000,6/24/22
4,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,1,976,55,21-33 80TH STREET,11370,1,0,1,1799,1224,1950,1,A5,830000,9/23/22
4,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,1,976,60,21-23 80TH STREET,11370,1,0,1,1800,1224,1950,1,A5,900000,2/8/22
4,AIRPORT LA GUARDIA,03 THREE FAMILY DWELLINGS,1,949,56,19-69 80TH STREET,11370,3,0,3,2000,2835,1945,1,C0,0,3/8/22
4,AIRPORT LA GUARDIA,03 THREE FAMILY DWELLINGS,1,949,56,19-69 80TH STREET,11370,3,0,3,2000,2835,1945,1,C0,0,4/12/22
4,AIRPORT LA GUARDIA,12 CONDOS - WALKUP APARTMENTS,2,949,1017,"19-17 80TH STREET, 1",11370,1,,1,,,,2,R2,335000,11/9/22
4,AIRPORT LA GUARDIA,12 CONDOS - WALKUP APARTMENTS,2,949,1022,"19-13 80TH STREET, 2",11370,1,,1,,,,2,R2,630000,7/26/22
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15830,5,40-10 ROCKAWAY BEACH BLVD,11691,1,0,1,1594,482,1920,1,A6,195000,2/3/22
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15830,8,4016 ROCKAWAY BEACH BOULEVARD,11691,1,0,1,3231,1520,2005,1,A5,585000,7/27/22
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15830,48,335 BEACH 40 STREET,11691,1,0,1,2245,1350,2005,1,A5,0,7/1/22
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15833,47,341 BEACH 42ND STREET,11691,1,0,1,2850,1332,2006,1,A5,549999,9/23/22
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15834,57,329 BEACH 43RD,11691,1,0,1,2228,1476,2006,1,A5,315000,4/15/22
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15834,57,329 BEACH 43RD ST,11691,1,0,1,2228,1476,2006,1,A5,600000,11/7/22
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15835,63,337 BEACH 44TH STREET,11691,1,0,1,3431,2268,1920,1,A2,0,5/25/22
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15837,27,354 BEACH 46 STREET,11691,1,0,1,3804,2304,1925,1,A2,190000,8/19/22
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15837,56,335 BEACH 45TH STREET,11691,1,0,1,2470,1048,1925,1,A1,505000,3/11/22
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15839,64,311 BEACH 47 STREET,11691,1,0,1,2853,2080,1920,1,A2,0,8/24/22
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15849,22,40-01 ROCKAWAY BEACH BLVD,11691,1,0,1,2626,618,1920,1,A6,542000,3/1/22
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15850,30,206 BEACH 42 STREET,11691,1,0,1,2000,560,1920,1,A6,375000,9/23/22
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15905,47,123 BEACH 62ND STREET,11692,1,0,1,4413,2626,2014,1,A5,1138000,10/14/22
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15908,16,63-07 BEACH CHANNEL DRIVE,11692,1,0,1,4000,1020,1950,1,A0,0,3/31/22
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15954,82,403 BEACH 37,11691,1,0,1,2896,1502,2008,1,A5,540000,3/9/22
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15960,8,410 BEACH 43 STREET,11691,1,0,1,2252,866,2018,1,A1,146138,11/9/22
